Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
16,1.0,0.0,0.0,0.0,0.0,16.0,287.0,0.1,8.202999999999998,0.0,0.0,75.85391092300415,,,,,,,,,1.3434594,0.48406994,2.31996,0.8347762,,,,,5.348483,3.7945418,20.769985,1.1881227,3.0245386206566622,2.9712962638334663,8.170941093315031,0.001,2.8464177,0.0,2.8464177,2.8464177,6.189396652962545e-17,0.9999999966453622,2.5853794121791123,-1.02007046058423,0.00962425,0.008479467,0.039660893,-0.014952058,1.3853155,0.4866154,2.3672233,0.8530817,-0.013423209,0.022904294,0.022686373,-0.058887556,3.0497798053097793,2.9978787584067423,10.75239679622195,0.001,0.0068850787,0.0,0.0068850787,0.0068850787,0.99930745,0.10465314,1.7453163,0.6648375,0.99625665,0.08763211,1.2,0.8
17,1.0,0.0,0.0,18.0,1.0,18.0,305.0,0.1,9.202999999999998,0.0,0.0,83.43955588340759,,,,,,,,,,,,,,,,,,,,,3.401200510287365,3.227500785940224,9.16008940954451,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1.0,0.0,0.0,41.0,2.0,23.0,328.0,0.1,16.703000000000007,0.0,0.0,85.91754841804504,,,,,,,,,,,,,,,,,,,,,7.132190372797336,5.822170068469268,16.572087223786017,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1.0,0.0,0.0,60.0,3.0,19.0,347.0,0.1,11.302999999999997,0.0,0.0,88.1441581249237,,,,,,,,,,,,,,,,,,,,,4.30162244963197,4.09075966912751,11.24374542055268,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1.0,0.0,0.0,86.0,4.0,26.0,373.0,0.1,14.602999999999996,0.0,0.0,90.91915106773376,,,,,,,,,,,,,,,,,,,,,5.102541704987408,5.0888028704890385,14.499318052457193,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,129.0,5.0,43.0,416.0,0.1,21.805000000000017,0.0,0.0,95.79634213447571,,,,,,,,,,,,,,,,,,,,,8.763562677419909,6.590000078613775,21.47108750880104,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,155.0,6.0,26.0,442.0,0.1,16.90300000000001,0.0,0.0,98.50055718421936,,,,,,,,,,,,,,,,,,,,,6.526149345192744,5.9136006897275815,16.76683702423644,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,171.0,7.0,16.0,458.0,0.1,7.803,0.0,0.0,100.33127236366272,,,,,,,,,,,,,,,,,,,,,2.750909503895124,2.8513758817728805,7.774526726864682,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,193.0,8.0,22.0,480.0,0.1,12.902999999999997,0.0,0.0,102.83398222923279,,,,,,,,,,,,,,,,,,,,,4.7537699572155026,4.587838460836546,12.824052341572061,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,243.0,9.0,50.0,530.0,0.1,19.001999999999995,0.0,0.0,107.81595540046692,,,,,,,,,,,,,,,,,,,,,7.8967957435960185,4.979121991942539,18.644430429248267,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
